train_epoch=1, train_step=3, auc=0.888889, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.666667, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=4, auc=0.909091, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=3, auc=0.848485, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.777778, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.898990, ndcg=0.000000
train_epoch=1, train_step=4, auc=0.939394, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.989899, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.909091, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.949495, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.848485, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.969697, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.979798, ndcg=0.000000
train_epoch=1, train_step=1, auc=1.000000, ndcg=0.000000
train_epoch=1, train_step=2, auc=0.898990, ndcg=0.000000
train_epoch=1, train_step=1, auc=0.959596, ndcg=0.000000
